from_node_id,to_node_id,flying_time_cost,time_stamp
0,1,1,0
0,11,0,0
1,2,1,0
1,3,1,0
1,4,1,0
1,5,2,0
1,6,2,0
1,7,2,0
1,8,1,0
1,9,1,0
1,11,1,0
2,1,1,0
2,3,1,0
2,4,2,0
2,5,2,0
2,6,2,0
2,7,2,0
2,8,2,0
2,9,2,0
3,1,1,0
3,2,1,0
3,4,1,0
3,5,2,0
3,6,2,0
3,7,2,0
3,8,2,0
3,9,2,0
3,10,1,0
4,1,1,0
4,2,2,0
4,3,1,0
4,5,1,0
4,6,1,0
4,7,2,0
4,8,2,0
4,9,1,0
5,1,2,0
5,2,2,0
5,3,2,0
5,4,1,0
5,6,1,0
5,7,1,0
5,8,2,0
5,9,1,0
6,1,2,0
6,2,2,0
6,3,2,0
6,4,1,0
6,5,1,0
6,7,1,0
6,8,1,0
6,9,1,0
7,1,2,0
7,2,2,0
7,3,2,0
7,4,2,0
7,5,1,0
7,6,1,0
7,8,1,0
7,9,1,0
8,1,1,0
8,2,2,0
8,3,2,0
8,4,2,0
8,5,2,0
8,6,1,0
8,7,1,0
8,9,1,0
9,1,1,0
9,2,2,0
9,3,2,0
9,4,1,0
9,5,1,0
9,6,1,0
9,7,1,0
9,8,1,0
10,3,1,0
0,1,1,1
0,11,0,1
1,2,1,1
1,3,1,1
1,4,1,1
1,5,2,1
1,6,2,1
1,7,2,1
1,8,1,1
1,9,1,1
1,11,1,1
2,1,1,1
2,3,1,1
2,4,2,1
2,5,2,1
2,6,2,1
2,7,2,1
2,8,2,1
2,9,2,1
3,1,1,1
3,2,1,1
3,4,1,1
3,5,2,1
3,6,2,1
3,7,2,1
3,8,2,1
3,9,2,1
3,10,1,1
4,1,1,1
4,2,2,1
4,3,1,1
4,5,1,1
4,6,1,1
4,7,2,1
4,8,2,1
4,9,1,1
5,1,2,1
5,2,2,1
5,3,2,1
5,4,1,1
5,6,1,1
5,7,1,1
5,8,2,1
5,9,1,1
6,1,2,1
6,2,2,1
6,3,2,1
6,4,1,1
6,5,1,1
6,7,1,1
6,8,1,1
6,9,1,1
7,1,2,1
7,2,2,1
7,3,2,1
7,4,2,1
7,5,1,1
7,6,1,1
7,8,1,1
7,9,1,1
8,1,1,1
8,2,2,1
8,3,2,1
8,4,2,1
8,5,2,1
8,6,1,1
8,7,1,1
8,9,1,1
9,1,1,1
9,2,2,1
9,3,2,1
9,4,1,1
