from_space,to_space,from_time,to_time,from_state,to_state,cost,arc_type
4,9,0,1,1,1,1,0
4,9,1,2,1,1,1,0
4,9,2,3,1,1,1,0
4,9,3,4,1,1,1,0
4,9,4,5,1,1,1,0
4,9,5,6,1,1,1,0
4,9,6,7,1,1,1,0
4,9,7,8,1,1,1,0
4,9,8,9,1,1,1,0
4,9,9,10,1,1,1,0
4,9,10,11,1,1,1,0
4,9,11,12,1,1,1,0
4,9,12,13,1,1,1,0
4,9,13,14,1,1,1,0
4,9,14,15,1,1,1,0
4,9,15,16,1,1,1,0
4,9,16,17,1,1,1,0
4,9,17,18,1,1,1,0
4,9,18,19,1,1,1,0
4,9,19,20,1,1,1,0
4,9,20,21,1,1,1,0
4,9,21,22,1,1,1,0
4,9,22,23,1,1,1,0
4,9,23,24,1,1,1,0
4,9,24,25,1,1,1,0
4,9,25,26,1,1,1,0
4,9,26,27,1,1,1,0
4,9,27,28,1,1,1,0
4,9,28,29,1,1,1,0
4,9,29,30,1,1,1,0
4,9,30,31,1,1,1,0
4,9,31,32,1,1,1,0
4,9,32,33,1,1,1,0
4,9,33,34,1,1,1,0
4,9,34,35,1,1,1,0
4,9,35,36,1,1,1,0
4,9,36,37,1,1,1,0
4,9,37,38,1,1,1,0
4,9,38,39,1,1,1,0
4,9,39,40,1,1,1,0
5,1,0,2,1,1,2,0
5,1,1,3,1,1,2,0
5,1,2,4,1,1,2,0
5,1,3,5,1,1,2,0
5,1,4,6,1,1,2,0
5,1,5,7,1,1,2,0
5,1,6,8,1,1,2,0
5,1,7,9,1,1,2,0
5,1,8,10,1,1,2,0
5,1,9,11,1,1,2,0
5,1,10,12,1,1,2,0
5,1,11,13,1,1,2,0
5,1,12,14,1,1,2,0
5,1,13,15,1,1,2,0
5,1,14,16,1,1,2,0
5,1,15,17,1,1,2,0
5,1,16,18,1,1,2,0
5,1,17,19,1,1,2,0
5,1,18,20,1,1,2,0
5,1,19,21,1,1,2,0
