from_space,to_space,from_time,to_time,from_state,to_state,cost,arc_type
3,4,0,4,0,0,4,0
3,4,1,5,0,0,4,0
3,4,2,6,0,0,4,0
3,4,3,7,0,0,4,0
3,4,4,8,0,0,4,0
3,4,5,9,0,0,4,0
3,4,6,10,0,0,4,0
3,4,7,11,0,0,4,0
3,4,8,12,0,0,4,0
3,4,9,13,0,0,4,0
3,4,10,14,0,0,4,0
3,4,11,15,0,0,4,0
3,4,12,16,0,0,4,0
3,4,13,17,0,0,4,0
3,4,14,18,0,0,4,0
3,4,15,19,0,0,4,0
3,4,16,20,0,0,4,0
3,4,17,21,0,0,4,0
3,4,18,22,0,0,4,0
3,4,19,23,0,0,4,0
3,4,20,24,0,0,4,0
3,4,21,25,0,0,4,0
3,4,22,26,0,0,4,0
3,4,23,27,0,0,4,0
3,4,24,28,0,0,4,0
3,4,25,29,0,0,4,0
3,4,26,30,0,0,4,0
3,4,27,31,0,0,4,0
3,4,28,32,0,0,4,0
3,4,29,33,0,0,4,0
3,4,30,34,0,0,4,0
3,4,31,35,0,0,4,0
3,4,32,36,0,0,4,0
3,4,33,37,0,0,4,0
3,4,34,38,0,0,4,0
3,4,35,39,0,0,4,0
3,4,36,40,0,0,4,0
4,3,0,4,0,0,4,0
4,3,1,5,0,0,4,0
4,3,2,6,0,0,4,0
4,3,3,7,0,0,4,0
4,3,4,8,0,0,4,0
4,3,5,9,0,0,4,0
4,3,6,10,0,0,4,0
4,3,7,11,0,0,4,0
4,3,8,12,0,0,4,0
4,3,9,13,0,0,4,0
4,3,10,14,0,0,4,0
4,3,11,15,0,0,4,0
4,3,12,16,0,0,4,0
4,3,13,17,0,0,4,0
4,3,14,18,0,0,4,0
4,3,15,19,0,0,4,0
4,3,16,20,0,0,4,0
4,3,17,21,0,0,4,0
4,3,18,22,0,0,4,0
4,3,19,23,0,0,4,0
4,3,20,24,0,0,4,0
4,3,21,25,0,0,4,0
4,3,22,26,0,0,4,0
4,3,23,27,0,0,4,0
4,3,24,28,0,0,4,0
4,3,25,29,0,0,4,0
4,3,26,30,0,0,4,0
4,3,27,31,0,0,4,0
4,3,28,32,0,0,4,0
4,3,29,33,0,0,4,0
4,3,30,34,0,0,4,0
4,3,31,35,0,0,4,0
4,3,32,36,0,0,4,0
4,3,33,37,0,0,4,0
4,3,34,38,0,0,4,0
4,3,35,39,0,0,4,0
4,3,36,40,0,0,4,0
3,1,0,5,0,0,5,0
3,1,1,6,0,0,5,0
3,1,2,7,0,0,5,0
3,1,3,8,0,0,5,0
3,1,4,9,0,0,5,0
3,1,5,10,0,0,5,0
3,1,6,11,0,0,5,0
3,1,7,12,0,0,5,0
3,1,8,13,0,0,5,0
3,1,9,14,0,0,5,0
3,1,10,15,0,0,5,0
3,1,11,16,0,0,5,0
3,1,12,17,0,0,5,0
3,1,13,18,0,0,5,0
3,1,14,19,0,0,5,0
3,1,15,20,0,0,5,0
3,1,16,21,0,0,5,0
3,1,17,22,0,0,5,0
3,1,18,23,0,0,5,0
3,1,19,24,0,0,5,0
3,1,20,25,0,0,5,0
3,1,21,26,0,0,5,0
3,1,22,27,0,0,5,0
3,1,23,28,0,0,5,0
3,1,24,29,0,0,5,0
3,1,25,30,0,0,5,0
3,1,26,31,0,0,5,0
3,1,27,32,0,0,5,0
3,1,28,33,0,0,5,0
3,1,29,34,0,0,5,0
