from_space,to_space,from_time,to_time,from_state,to_state,cost,arc_type
8,9,0,3,0,0,3,0
8,9,1,4,0,0,3,0
8,9,2,5,0,0,3,0
8,9,3,6,0,0,3,0
8,9,4,7,0,0,3,0
8,9,5,8,0,0,3,0
8,9,6,9,0,0,3,0
8,9,7,10,0,0,3,0
8,9,8,11,0,0,3,0
8,9,9,12,0,0,3,0
8,9,10,13,0,0,3,0
8,9,11,14,0,0,3,0
8,9,12,15,0,0,3,0
8,9,13,16,0,0,3,0
8,9,14,17,0,0,3,0
8,9,15,18,0,0,3,0
8,9,16,19,0,0,3,0
8,9,17,20,0,0,3,0
8,9,18,21,0,0,3,0
8,9,19,22,0,0,3,0
8,9,20,23,0,0,3,0
8,9,21,24,0,0,3,0
8,9,22,25,0,0,3,0
8,9,23,26,0,0,3,0
8,9,24,27,0,0,3,0
8,9,25,28,0,0,3,0
8,9,26,29,0,0,3,0
8,9,27,30,0,0,3,0
8,9,28,31,0,0,3,0
9,8,0,3,0,0,3,0
9,8,1,4,0,0,3,0
9,8,2,5,0,0,3,0
9,8,3,6,0,0,3,0
9,8,4,7,0,0,3,0
9,8,5,8,0,0,3,0
9,8,6,9,0,0,3,0
9,8,7,10,0,0,3,0
9,8,8,11,0,0,3,0
9,8,9,12,0,0,3,0
9,8,10,13,0,0,3,0
9,8,11,14,0,0,3,0
9,8,12,15,0,0,3,0
9,8,13,16,0,0,3,0
9,8,14,17,0,0,3,0
9,8,15,18,0,0,3,0
9,8,16,19,0,0,3,0
9,8,17,20,0,0,3,0
9,8,18,21,0,0,3,0
9,8,19,22,0,0,3,0
9,8,20,23,0,0,3,0
9,8,21,24,0,0,3,0
9,8,22,25,0,0,3,0
9,8,23,26,0,0,3,0
9,8,24,27,0,0,3,0
9,8,25,28,0,0,3,0
9,8,26,29,0,0,3,0
9,8,27,30,0,0,3,0
9,8,28,31,0,0,3,0
11,14,0,4,0,0,4,0
11,14,1,5,0,0,4,0
11,14,2,6,0,0,4,0
11,14,3,7,0,0,4,0
11,14,4,8,0,0,4,0
11,14,5,9,0,0,4,0
11,14,6,10,0,0,4,0
11,14,7,11,0,0,4,0
11,14,8,12,0,0,4,0
11,14,9,13,0,0,4,0
11,14,10,14,0,0,4,0
11,14,11,15,0,0,4,0
11,14,12,16,0,0,4,0
11,14,13,17,0,0,4,0
11,14,14,18,0,0,4,0
11,14,15,19,0,0,4,0
11,14,16,20,0,0,4,0
11,14,17,21,0,0,4,0
11,14,18,22,0,0,4,0
11,14,19,23,0,0,4,0
11,14,20,24,0,0,4,0
11,14,21,25,0,0,4,0
11,14,22,26,0,0,4,0
11,14,23,27,0,0,4,0
11,14,24,28,0,0,4,0
11,14,25,29,0,0,4,0
11,14,26,30,0,0,4,0
11,14,27,31,0,0,4,0
6,2,0,2,0,0,2,0
6,2,1,3,0,0,2,0
6,2,2,4,0,0,2,0
6,2,3,5,0,0,2,0
6,2,4,6,0,0,2,0
6,2,5,7,0,0,2,0
6,2,6,8,0,0,2,0
6,2,7,9,0,0,2,0
6,2,8,10,0,0,2,0
6,2,9,11,0,0,2,0
6,2,10,12,0,0,2,0
6,2,11,13,0,0,2,0
6,2,12,14,0,0,2,0
6,2,13,15,0,0,2,0
6,2,14,16,0,0,2,0
6,2,15,17,0,0,2,0
6,2,16,18,0,0,2,0
6,2,17,19,0,0,2,0
6,2,18,20,0,0,2,0
6,2,19,21,0,0,2,0
6,2,20,22,0,0,2,0
6,2,21,23,0,0,2,0
6,2,22,24,0,0,2,0
6,2,23,25,0,0,2,0
6,2,24,26,0,0,2,0
6,2,25,27,0,0,2,0
6,2,26,28,0,0,2,0
6,2,27,29,0,0,2,0
6,2,28,30,0,0,2,0
6,2,29,31,0,0,2,0
15,14,0,3,0,0,3,0
15,14,1,4,0,0,3,0
15,14,2,5,0,0,3,0
15,14,3,6,0,0,3,0
15,14,4,7,0,0,3,0
15,14,5,8,0,0,3,0
15,14,6,9,0,0,3,0
15,14,7,10,0,0,3,0
15,14,8,11,0,0,3,0
15,14,9,12,0,0,3,0
15,14,10,13,0,0,3,0
15,14,11,14,0,0,3,0
15,14,12,15,0,0,3,0
15,14,13,16,0,0,3,0
15,14,14,17,0,0,3,0
15,14,15,18,0,0,3,0
15,14,16,19,0,0,3,0
15,14,17,20,0,0,3,0
15,14,18,21,0,0,3,0
15,14,19,22,0,0,3,0
15,14,20,23,0,0,3,0
15,14,21,24,0,0,3,0
15,14,22,25,0,0,3,0
15,14,23,26,0,0,3,0
15,14,24,27,0,0,3,0
15,14,25,28,0,0,3,0
15,14,26,29,0,0,3,0
