from_node_id,to_node_id,flying_time_cost,time_stamp
0,1,1,0
0,31,0,0
1,2,4,0
1,3,1,0
1,4,2,0
1,5,3,0
1,6,4,0
1,7,6,0
1,8,4,0
1,9,3,0
1,10,4,0
1,11,3,0
1,12,3,0
1,13,7,0
1,14,5,0
1,15,5,0
1,16,5,0
1,17,5,0
1,18,6,0
1,19,6,0
1,20,8,0
1,21,7,0
1,22,6,0
1,23,6,0
1,24,7,0
1,31,1,0
2,1,4,0
2,3,4,0
2,4,3,0
2,5,2,0
2,6,2,0
2,7,2,0
2,8,2,0
2,9,2,0
2,10,3,0
2,11,4,0
2,12,5,0
2,13,8,0
2,14,5,0
2,15,5,0
2,16,3,0
2,17,4,0
2,18,3,0
2,19,5,0
2,20,7,0
2,21,7,0
2,22,6,0
2,23,6,0
2,24,7,0
2,29,1,0
3,1,1,0
3,2,4,0
3,4,1,0
3,5,2,0
3,6,4,0
3,7,5,0
3,8,4,0
3,9,3,0
3,10,3,0
3,11,2,0
3,12,2,0
3,13,6,0
3,14,4,0
3,15,4,0
3,16,4,0
3,17,5,0
3,18,6,0
3,19,5,0
3,20,7,0
3,21,6,0
3,22,5,0
3,23,5,0
3,24,6,0
4,1,2,0
4,2,3,0
4,3,1,0
4,5,1,0
4,6,3,0
4,7,4,0
4,8,3,0
4,9,1,0
4,10,2,0
4,11,2,0
4,12,2,0
4,13,6,0
4,14,4,0
4,15,4,0
4,16,3,0
4,17,4,0
4,18,5,0
4,19,5,0
4,20,6,0
4,21,6,0
4,22,5,0
4,23,5,0
4,24,6,0
4,25,1,0
5,1,3,0
5,2,2,0
5,3,3,0
5,4,1,0
5,6,1,0
5,7,3,0
5,8,2,0
5,9,1,0
5,10,2,0
5,11,2,0
5,12,3,0
5,13,6,0
5,14,4,0
5,15,4,0
5,16,2,0
5,17,3,0
5,18,3,0
5,19,4,0
5,20,6,0
5,21,6,0
5,22,5,0
5,23,5,0
5,24,6,0
6,1,4,0
6,2,1,0
6,3,4,0
6,4,3,0
6,5,1,0
6,7,2,0
6,8,1,0
6,9,2,0
6,10,2,0
6,11,3,0
6,12,4,0
6,13,7,0
6,14,5,0
6,15,4,0
6,16,2,0
6,17,3,0
6,18,2,0
6,19,4,0
6,20,6,0
6,21,6,0
6,22,5,0
6,23,5,0
6,24,6,0
7,1,6,0
7,2,2,0
7,3,5,0
7,4,4,0
7,5,3,0
7,6,2,0
7,8,1,0
7,9,3,0
7,10,3,0
7,11,4,0
7,12,5,0
7,13,7,0
7,14,5,0
7,15,4,0
7,16,2,0
7,17,2,0
7,18,1,0
7,19,3,0
7,20,5,0
7,21,6,0
