from_node_id,to_node_id,driving_time_cost,length,time_stamp
0,1,1,10,0
0,32,0,0,0
1,2,8,80,0
1,3,2,20,0
1,32,1,10,0
2,1,8,80,0
2,6,2,20,0
2,29,1,10,0
3,1,2,20,0
3,4,3,30,0
3,12,4,40,0
4,3,3,30,0
4,5,3,30,0
4,11,4,40,0
4,25,1,10,0
5,4,3,30,0
5,6,3,30,0
5,9,2,20,0
6,2,2,20,0
6,5,3,30,0
6,8,2,20,0
6,31,1,10,0
7,8,3,30,0
7,18,2,20,0
8,6,2,20,0
8,7,3,30,0
8,9,3,30,0
8,16,2,20,0
9,5,2,20,0
9,8,3,30,0
9,10,2,20,0
10,9,2,20,0
10,11,3,30,0
10,16,3,30,0
10,17,4,40,0
10,15,4,40,0
11,4,4,40,0
11,10,3,30,0
11,14,4,40,0
11,12,3,30,0
12,3,4,40,0
12,11,3,30,0
12,13,9,90,0
12,26,1,10,0
13,12,9,90,0
13,24,3,30,0
13,30,1,10,0
14,11,4,40,0
14,15,3,30,0
14,23,2,20,0
14,27,1,10,0
15,10,4,40,0
15,19,3,30,0
15,22,2,20,0
15,14,3,30,0
16,8,2,20,0
16,18,3,30,0
16,17,2,20,0
16,10,3,30,0
17,16,2,20,0
17,19,2,20,0
17,10,4,40,0
18,7,2,20,0
18,28,1,10,0
18,20,10,100,0
18,16,3,30,0
19,17,2,20,0
19,20,5,50,0
19,15,3,30,0
20,18,10,100,0
20,19,5,50,0
20,21,3,30,0
20,22,4,40,0
21,20,3,30,0
21,22,3,30,0
21,24,3,30,0
22,15,2,20,0
22,20,4,40,0
22,21,3,30,0
22,23,3,30,0
23,14,2,20,0
23,22,3,30,0
23,24,3,30,0
24,23,3,30,0
24,21,3,30,0
24,13,3,30,0
25,4,1,10,0
26,12,1,10,0
27,14,1,10,0
28,18,1,10,0
29,2,1,10,0
30,13,1,10,0
31,6,1,10,0
0,1,1,10,1
0,32,0,0,1
1,2,8,80,1
1,3,2,20,1
1,32,1,10,1
2,1,8,80,1
2,6,2,20,1
2,29,1,10,1
3,1,2,20,1
3,4,3,30,1
3,12,4,40,1
4,3,3,30,1
4,5,3,30,1
4,11,4,40,1
4,25,1,10,1
5,4,3,30,1
5,6,3,30,1
5,9,2,20,1
