from_space,to_space,from_time,to_time,from_state,to_state,cost,arc_type
15,21,0,2,1,1,2,0
15,21,1,3,1,1,2,0
15,21,2,4,1,1,2,0
15,21,3,5,1,1,2,0
15,21,4,6,1,1,2,0
15,21,5,7,1,1,2,0
15,21,6,8,1,1,2,0
15,21,7,9,1,1,2,0
15,21,8,10,1,1,2,0
15,21,9,11,1,1,2,0
15,21,10,12,1,1,2,0
15,21,11,13,1,1,2,0
15,21,12,14,1,1,2,0
15,21,13,15,1,1,2,0
15,21,14,16,1,1,2,0
15,21,15,17,1,1,2,0
15,21,16,18,1,1,2,0
15,21,17,19,1,1,2,0
15,21,18,20,1,1,2,0
15,21,19,21,1,1,2,0
15,21,20,22,1,1,2,0
15,21,21,23,1,1,2,0
15,21,22,24,1,1,2,0
15,21,23,25,1,1,2,0
15,21,24,26,1,1,2,0
15,21,25,27,1,1,2,0
15,21,26,28,1,1,2,0
15,21,27,29,1,1,2,0
15,21,28,30,1,1,2,0
15,21,29,31,1,1,2,0
15,21,30,32,1,1,2,0
15,21,31,33,1,1,2,0
15,21,32,34,1,1,2,0
15,21,33,35,1,1,2,0
15,21,34,36,1,1,2,0
15,21,35,37,1,1,2,0
15,21,36,38,1,1,2,0
15,21,37,39,1,1,2,0
15,21,38,40,1,1,2,0
15,21,39,41,1,1,2,0
15,21,40,42,1,1,2,0
15,21,41,43,1,1,2,0
15,21,42,44,1,1,2,0
15,21,43,45,1,1,2,0
15,21,44,46,1,1,2,0
7,17,0,2,1,1,2,0
7,17,1,3,1,1,2,0
7,17,2,4,1,1,2,0
7,17,3,5,1,1,2,0
7,17,4,6,1,1,2,0
7,17,5,7,1,1,2,0
7,17,6,8,1,1,2,0
7,17,7,9,1,1,2,0
7,17,8,10,1,1,2,0
7,17,9,11,1,1,2,0
7,17,10,12,1,1,2,0
7,17,11,13,1,1,2,0
7,17,12,14,1,1,2,0
7,17,13,15,1,1,2,0
7,17,14,16,1,1,2,0
7,17,15,17,1,1,2,0
7,17,16,18,1,1,2,0
7,17,17,19,1,1,2,0
7,17,18,20,1,1,2,0
7,17,19,21,1,1,2,0
7,17,20,22,1,1,2,0
7,17,21,23,1,1,2,0
7,17,22,24,1,1,2,0
7,17,23,25,1,1,2,0
7,17,24,26,1,1,2,0
7,17,25,27,1,1,2,0
7,17,26,28,1,1,2,0
7,17,27,29,1,1,2,0
7,17,28,30,1,1,2,0
7,17,29,31,1,1,2,0
7,17,30,32,1,1,2,0
7,17,31,33,1,1,2,0
7,17,32,34,1,1,2,0
7,17,33,35,1,1,2,0
7,17,34,36,1,1,2,0
7,17,35,37,1,1,2,0
7,17,36,38,1,1,2,0
7,17,37,39,1,1,2,0
7,17,38,40,1,1,2,0
7,17,39,41,1,1,2,0
7,17,40,42,1,1,2,0
7,17,41,43,1,1,2,0
7,17,42,44,1,1,2,0
7,17,43,45,1,1,2,0
7,17,44,46,1,1,2,0
18,17,0,2,1,1,2,0
18,17,1,3,1,1,2,0
18,17,2,4,1,1,2,0
18,17,3,5,1,1,2,0
18,17,4,6,1,1,2,0
18,17,5,7,1,1,2,0
18,17,6,8,1,1,2,0
18,17,7,9,1,1,2,0
18,17,8,10,1,1,2,0
18,17,9,11,1,1,2,0
18,17,10,12,1,1,2,0
18,17,11,13,1,1,2,0
18,17,12,14,1,1,2,0
18,17,13,15,1,1,2,0
18,17,14,16,1,1,2,0
18,17,15,17,1,1,2,0
18,17,16,18,1,1,2,0
18,17,17,19,1,1,2,0
18,17,18,20,1,1,2,0
18,17,19,21,1,1,2,0
18,17,20,22,1,1,2,0
18,17,21,23,1,1,2,0
18,17,22,24,1,1,2,0
18,17,23,25,1,1,2,0
18,17,24,26,1,1,2,0
18,17,25,27,1,1,2,0
18,17,26,28,1,1,2,0
18,17,27,29,1,1,2,0
18,17,28,30,1,1,2,0
18,17,29,31,1,1,2,0
18,17,30,32,1,1,2,0
18,17,31,33,1,1,2,0
18,17,32,34,1,1,2,0
18,17,33,35,1,1,2,0
18,17,34,36,1,1,2,0
18,17,35,37,1,1,2,0
18,17,36,38,1,1,2,0
18,17,37,39,1,1,2,0
18,17,38,40,1,1,2,0
18,17,39,41,1,1,2,0
18,17,40,42,1,1,2,0
18,17,41,43,1,1,2,0
18,17,42,44,1,1,2,0
18,17,43,45,1,1,2,0
18,17,44,46,1,1,2,0
8,9,0,1,1,1,1,0
8,9,1,2,1,1,1,0
8,9,2,3,1,1,1,0
8,9,3,4,1,1,1,0
8,9,4,5,1,1,1,0
8,9,5,6,1,1,1,0
8,9,6,7,1,1,1,0
8,9,7,8,1,1,1,0
8,9,8,9,1,1,1,0
8,9,9,10,1,1,1,0
8,9,10,11,1,1,1,0
8,9,11,12,1,1,1,0
8,9,12,13,1,1,1,0
8,9,13,14,1,1,1,0
8,9,14,15,1,1,1,0
8,9,15,16,1,1,1,0
8,9,16,17,1,1,1,0
8,9,17,18,1,1,1,0
8,9,18,19,1,1,1,0
8,9,19,20,1,1,1,0
