start_space,delivery_space,end_space,start_time,delivery_time,end_time,sorties_cost
8,28,17,5,8,11,6
8,28,2,5,8,12,7
8,28,8,5,8,11,6
8,28,20,5,8,13,8
8,28,10,5,8,12,7
8,28,5,5,8,12,7
8,28,22,5,8,13,8
8,28,17,5,8,12,7
8,28,17,5,8,13,8
8,28,2,5,8,13,8
8,28,8,5,8,12,7
8,28,8,5,8,13,8
8,28,10,5,8,13,8
8,28,5,5,8,13,8
8,28,17,6,9,12,6
8,28,2,6,9,13,7
8,28,8,6,9,12,6
8,28,20,6,9,14,8
8,28,10,6,9,13,7
8,28,5,6,9,13,7
8,28,22,6,9,14,8
8,28,17,6,9,13,7
8,28,17,6,9,14,8
8,28,2,6,9,14,8
8,28,8,6,9,13,7
8,28,8,6,9,14,8
8,28,10,6,9,14,8
8,28,5,6,9,14,8
8,28,17,7,10,13,6
8,28,2,7,10,14,7
8,28,8,7,10,13,6
8,28,20,7,10,15,8
8,28,10,7,10,14,7
8,28,5,7,10,14,7
8,28,22,7,10,15,8
8,28,17,7,10,14,7
8,28,17,7,10,15,8
8,28,2,7,10,15,8
8,28,8,7,10,14,7
8,28,8,7,10,15,8
8,28,10,7,10,15,8
8,28,5,7,10,15,8
8,28,17,8,11,14,6
8,28,2,8,11,15,7
8,28,8,8,11,14,6
8,28,20,8,11,16,8
8,28,10,8,11,15,7
8,28,5,8,11,15,7
8,28,22,8,11,16,8
8,28,17,8,11,15,7
8,28,17,8,11,16,8
8,28,2,8,11,16,8
8,28,8,8,11,15,7
8,28,8,8,11,16,8
8,28,10,8,11,16,8
8,28,5,8,11,16,8
8,28,17,9,12,15,6
8,28,2,9,12,16,7
8,28,8,9,12,15,6
8,28,20,9,12,17,8
8,28,10,9,12,16,7
8,28,5,9,12,16,7
8,28,22,9,12,17,8
8,28,17,9,12,16,7
8,28,17,9,12,17,8
8,28,2,9,12,17,8
8,28,8,9,12,16,7
8,28,8,9,12,17,8
8,28,10,9,12,17,8
8,28,5,9,12,17,8
8,28,17,10,13,16,6
8,28,2,10,13,17,7
8,28,8,10,13,16,6
8,28,20,10,13,18,8
8,28,10,10,13,17,7
8,28,5,10,13,17,7
8,28,22,10,13,18,8
8,28,17,10,13,17,7
8,28,17,10,13,18,8
8,28,2,10,13,18,8
8,28,8,10,13,17,7
8,28,8,10,13,18,8
8,28,10,10,13,18,8
8,28,5,10,13,18,8
8,28,17,11,14,17,6
8,28,2,11,14,18,7
8,28,8,11,14,17,6
8,28,20,11,14,19,8
8,28,10,11,14,18,7
8,28,5,11,14,18,7
8,28,22,11,14,19,8
8,28,17,11,14,18,7
8,28,17,11,14,19,8
8,28,2,11,14,19,8
8,28,8,11,14,18,7
8,28,8,11,14,19,8
8,28,10,11,14,19,8
8,28,5,11,14,19,8
8,28,17,12,15,18,6
8,28,2,12,15,19,7
8,28,8,12,15,18,6
8,28,20,12,15,20,8
8,28,10,12,15,19,7
8,28,5,12,15,19,7
8,28,22,12,15,20,8
8,28,17,12,15,19,7
8,28,17,12,15,20,8
8,28,2,12,15,20,8
8,28,8,12,15,19,7
8,28,8,12,15,20,8
8,28,10,12,15,20,8
8,28,5,12,15,20,8
8,28,17,13,16,19,6
8,28,2,13,16,20,7
8,28,8,13,16,19,6
8,28,20,13,16,21,8
8,28,10,13,16,20,7
8,28,5,13,16,20,7
8,28,22,13,16,21,8
8,28,17,13,16,20,7
8,28,17,13,16,21,8
8,28,2,13,16,21,8
8,28,8,13,16,20,7
8,28,8,13,16,21,8
8,28,10,13,16,21,8
8,28,5,13,16,21,8
8,28,17,14,17,20,6
8,28,2,14,17,21,7
8,28,8,14,17,20,6
8,28,20,14,17,22,8
8,28,10,14,17,21,7
8,28,5,14,17,21,7
8,28,22,14,17,22,8
8,28,17,14,17,21,7
8,28,17,14,17,22,8
8,28,2,14,17,22,8
8,28,8,14,17,21,7
8,28,8,14,17,22,8
8,28,10,14,17,22,8
8,28,5,14,17,22,8
8,28,17,15,18,21,6
8,28,2,15,18,22,7
8,28,8,15,18,21,6
8,28,20,15,18,23,8
8,28,10,15,18,22,7
8,28,5,15,18,22,7
8,28,22,15,18,23,8
8,28,17,15,18,22,7
8,28,17,15,18,23,8
8,28,2,15,18,23,8
8,28,8,15,18,22,7
8,28,8,15,18,23,8
8,28,10,15,18,23,8
8,28,5,15,18,23,8
8,28,17,16,19,22,6
8,28,2,16,19,23,7
8,28,8,16,19,22,6
8,28,20,16,19,24,8
8,28,10,16,19,23,7
8,28,5,16,19,23,7
8,28,22,16,19,24,8
8,28,17,16,19,23,7
8,28,17,16,19,24,8
8,28,2,16,19,24,8
8,28,8,16,19,23,7
8,28,8,16,19,24,8
8,28,10,16,19,24,8
8,28,5,16,19,24,8
8,28,17,17,20,23,6
8,28,2,17,20,24,7
8,28,8,17,20,23,6
8,28,20,17,20,25,8
8,28,10,17,20,24,7
8,28,5,17,20,24,7
8,28,22,17,20,25,8
8,28,17,17,20,24,7
8,28,17,17,20,25,8
8,28,2,17,20,25,8
8,28,8,17,20,24,7
8,28,8,17,20,25,8
8,28,10,17,20,25,8
8,28,5,17,20,25,8
8,28,17,18,21,24,6
8,28,2,18,21,25,7
8,28,8,18,21,24,6
8,28,20,18,21,26,8
8,28,10,18,21,25,7
8,28,5,18,21,25,7
8,28,22,18,21,26,8
8,28,17,18,21,25,7
8,28,17,18,21,26,8
8,28,2,18,21,26,8
8,28,8,18,21,25,7
8,28,8,18,21,26,8
8,28,10,18,21,26,8
8,28,5,18,21,26,8
8,28,17,19,22,25,6
8,28,2,19,22,26,7
8,28,8,19,22,25,6
8,28,20,19,22,27,8
8,28,10,19,22,26,7
8,28,5,19,22,26,7
8,28,22,19,22,27,8
8,28,17,19,22,26,7
8,28,17,19,22,27,8
8,28,2,19,22,27,8
8,28,8,19,22,26,7
8,28,8,19,22,27,8
8,28,10,19,22,27,8
8,28,5,19,22,27,8
8,28,17,20,23,26,6
8,28,2,20,23,27,7
8,28,8,20,23,26,6
8,28,20,20,23,28,8
8,28,10,20,23,27,7
8,28,5,20,23,27,7
8,28,22,20,23,28,8
8,28,17,20,23,27,7
8,28,17,20,23,28,8
8,28,2,20,23,28,8
8,28,8,20,23,27,7
8,28,8,20,23,28,8
8,28,10,20,23,28,8
8,28,5,20,23,28,8
8,25,2,1,5,9,8
8,25,1,1,5,8,7
8,25,10,1,5,8,7
8,25,5,1,5,7,6
8,25,14,1,5,10,9
8,25,8,1,5,9,8
8,25,17,1,5,10,9
8,25,12,1,5,8,7
8,25,2,1,5,10,9
8,25,1,1,5,9,8
8,25,1,1,5,10,9
8,25,10,1,5,9,8
8,25,10,1,5,10,9
8,25,5,1,5,8,7
8,25,5,1,5,9,8
8,25,5,1,5,10,9
8,25,8,1,5,10,9
8,25,12,1,5,9,8
8,25,12,1,5,10,9
8,25,2,2,6,10,8
8,25,1,2,6,9,7
8,25,10,2,6,9,7
8,25,5,2,6,8,6
8,25,14,2,6,11,9
8,25,8,2,6,10,8
8,25,17,2,6,11,9
8,25,12,2,6,9,7
8,25,2,2,6,11,9
8,25,1,2,6,10,8
8,25,1,2,6,11,9
8,25,10,2,6,10,8
8,25,10,2,6,11,9
8,25,5,2,6,9,7
8,25,5,2,6,10,8
8,25,5,2,6,11,9
8,25,8,2,6,11,9
8,25,12,2,6,10,8
8,25,12,2,6,11,9
8,25,2,3,7,11,8
8,25,1,3,7,10,7
8,25,10,3,7,10,7
8,25,5,3,7,9,6
8,25,14,3,7,12,9
8,25,8,3,7,11,8
8,25,17,3,7,12,9
8,25,12,3,7,10,7
8,25,2,3,7,12,9
8,25,1,3,7,11,8
8,25,1,3,7,12,9
8,25,10,3,7,11,8
8,25,10,3,7,12,9
8,25,5,3,7,10,7
8,25,5,3,7,11,8
8,25,5,3,7,12,9
8,25,8,3,7,12,9
8,25,12,3,7,11,8
8,25,12,3,7,12,9
8,25,2,4,8,12,8
8,25,1,4,8,11,7
8,25,10,4,8,11,7
8,25,5,4,8,10,6
8,25,14,4,8,13,9
8,25,8,4,8,12,8
8,25,17,4,8,13,9
8,25,12,4,8,11,7
8,25,2,4,8,13,9
8,25,1,4,8,12,8
8,25,1,4,8,13,9
8,25,10,4,8,12,8
8,25,10,4,8,13,9
8,25,5,4,8,11,7
8,25,5,4,8,12,8
8,25,5,4,8,13,9
8,25,8,4,8,13,9
8,25,12,4,8,12,8
8,25,12,4,8,13,9
8,25,2,5,9,13,8
8,25,1,5,9,12,7
