from_node_id,to_node_id,driving_time_cost,length,time_stamp
0,1,1,10,0
0,11,0,0,0
1,2,4,40,0
1,3,5,50,0
1,7,11,100,0
1,8,7,70,0
1,9,5,50,0
1,11,1,10,0
2,1,4,40,0
2,3,5,50,0
2,9,7,70,0
3,1,5,50,0
3,2,5,50,0
3,4,4,40,0
3,9,5,50,0
3,10,1,10,0
4,3,4,40,0
4,5,5,50,0
4,6,6,60,0
4,9,4,40,0
5,4,5,50,0
5,6,4,40,0
5,9,5,50,0
6,4,6,60,0
6,5,4,40,0
6,7,4,40,0
6,8,6,60,0
6,9,4,40,0
7,1,11,100,0
7,6,4,40,0
7,8,4,40,0
7,9,5,50,0
8,1,7,70,0
8,6,6,60,0
8,7,4,40,0
9,1,5,50,0
9,2,7,70,0
9,3,5,50,0
9,4,4,40,0
9,5,5,50,0
9,6,4,40,0
9,7,5,50,0
10,3,1,10,0
0,1,1,10,1
0,11,0,0,1
1,2,4,40,1
1,3,5,50,1
1,7,12,100,1
1,8,8,70,1
1,9,5,50,1
1,11,1,10,1
2,1,4,40,1
2,3,5,50,1
2,9,8,70,1
3,1,5,50,1
3,2,5,50,1
3,4,4,40,1
3,9,5,50,1
3,10,1,10,1
4,3,4,40,1
4,5,5,50,1
4,6,6,60,1
4,9,4,40,1
5,4,5,50,1
5,6,4,40,1
5,9,5,50,1
6,4,6,60,1
6,5,4,40,1
6,7,4,40,1
6,8,6,60,1
6,9,4,40,1
7,1,12,100,1
7,6,4,40,1
7,8,4,40,1
7,9,5,50,1
8,1,8,70,1
8,6,6,60,1
8,7,4,40,1
9,1,5,50,1
9,2,8,70,1
9,3,5,50,1
9,4,4,40,1
9,5,5,50,1
9,6,4,40,1
9,7,5,50,1
10,3,1,10,1
0,1,1,10,2
0,11,0,0,2
1,2,4,40,2
1,3,5,50,2
1,7,12,100,2
1,8,8,70,2
1,9,5,50,2
1,11,1,10,2
2,1,4,40,2
2,3,5,50,2
2,9,8,70,2
3,1,5,50,2
3,2,5,50,2
3,4,4,40,2
3,9,5,50,2
3,10,1,10,2
4,3,4,40,2
4,5,5,50,2
4,6,7,60,2
4,9,4,40,2
5,4,5,50,2
5,6,4,40,2
5,9,5,50,2
6,4,7,60,2
6,5,4,40,2
6,7,4,40,2
6,8,7,60,2
6,9,4,40,2
7,1,12,100,2
7,6,4,40,2
7,8,4,40,2
7,9,5,50,2
8,1,8,70,2
8,6,7,60,2
8,7,4,40,2
9,1,5,50,2
9,2,8,70,2
9,3,5,50,2
9,4,4,40,2
9,5,5,50,2
9,6,4,40,2
9,7,5,50,2
10,3,1,10,2
0,1,1,10,3
0,11,0,0,3
1,2,4,40,3
1,3,5,50,3
1,7,13,100,3
1,8,8,70,3
1,9,5,50,3
1,11,1,10,3
2,1,4,40,3
2,3,5,50,3
2,9,8,70,3
3,1,5,50,3
3,2,5,50,3
3,4,4,40,3
3,9,5,50,3
3,10,1,10,3
4,3,4,40,3
4,5,5,50,3
4,6,7,60,3
4,9,4,40,3
5,4,5,50,3
5,6,4,40,3
5,9,5,50,3
6,4,7,60,3
6,5,4,40,3
6,7,4,40,3
6,8,7,60,3
6,9,4,40,3
7,1,13,100,3
7,6,4,40,3
7,8,4,40,3
7,9,5,50,3
8,1,8,70,3
8,6,7,60,3
8,7,4,40,3
9,1,5,50,3
9,2,8,70,3
9,3,5,50,3
9,4,4,40,3
9,5,5,50,3
9,6,4,40,3
9,7,5,50,3
10,3,1,10,3
0,1,1,10,4
0,11,0,0,4
1,2,4,40,4
1,3,6,50,4
1,7,13,100,4
1,8,8,70,4
1,9,6,50,4
1,11,1,10,4
2,1,4,40,4
2,3,6,50,4
2,9,8,70,4
3,1,6,50,4
3,2,6,50,4
3,4,4,40,4
3,9,6,50,4
3,10,1,10,4
4,3,4,40,4
4,5,6,50,4
4,6,7,60,4
4,9,4,40,4
5,4,6,50,4
5,6,4,40,4
5,9,6,50,4
6,4,7,60,4
6,5,4,40,4
6,7,4,40,4
6,8,7,60,4
6,9,4,40,4
7,1,13,100,4
7,6,4,40,4
7,8,4,40,4
7,9,6,50,4
8,1,8,70,4
8,6,7,60,4
8,7,4,40,4
9,1,6,50,4
9,2,8,70,4
9,3,6,50,4
9,4,4,40,4
9,5,6,50,4
9,6,4,40,4
9,7,6,50,4
10,3,1,10,4
0,1,1,10,5
0,11,0,0,5
1,2,5,40,5
1,3,6,50,5
1,7,14,100,5
1,8,9,70,5
1,9,6,50,5
1,11,1,10,5
2,1,5,40,5
2,3,6,50,5
2,9,9,70,5
3,1,6,50,5
3,2,6,50,5
3,4,5,40,5
3,9,6,50,5
3,10,1,10,5
4,3,5,40,5
4,5,6,50,5
4,6,7,60,5
4,9,5,40,5
5,4,6,50,5
5,6,5,40,5
5,9,6,50,5
6,4,7,60,5
6,5,5,40,5
6,7,5,40,5
6,8,7,60,5
6,9,5,40,5
7,1,14,100,5
7,6,5,40,5
7,8,5,40,5
7,9,6,50,5
8,1,9,70,5
8,6,7,60,5
8,7,5,40,5
9,1,6,50,5
9,2,9,70,5
9,3,6,50,5
9,4,5,40,5
9,5,6,50,5
9,6,5,40,5
9,7,6,50,5
10,3,1,10,5
0,1,1,10,6
0,11,0,0,6
1,2,5,40,6
1,3,6,50,6
1,7,15,100,6
1,8,9,70,6
1,9,6,50,6
1,11,1,10,6
2,1,5,40,6
2,3,6,50,6
2,9,9,70,6
3,1,6,50,6
3,2,6,50,6
3,4,5,40,6
3,9,6,50,6
3,10,1,10,6
4,3,5,40,6
4,5,6,50,6
4,6,8,60,6
4,9,5,40,6
5,4,6,50,6
5,6,5,40,6
5,9,6,50,6
6,4,8,60,6
6,5,5,40,6
6,7,5,40,6
6,8,8,60,6
6,9,5,40,6
7,1,15,100,6
7,6,5,40,6
7,8,5,40,6
7,9,6,50,6
8,1,9,70,6
8,6,8,60,6
8,7,5,40,6
9,1,6,50,6
9,2,9,70,6
9,3,6,50,6
9,4,5,40,6
9,5,6,50,6
9,6,5,40,6
9,7,6,50,6
10,3,1,10,6
0,1,1,10,7
0,11,0,0,7
1,2,5,40,7
1,3,7,50,7
1,7,16,100,7
1,8,10,70,7
1,9,7,50,7
1,11,1,10,7
2,1,5,40,7
2,3,7,50,7
2,9,10,70,7
3,1,7,50,7
3,2,7,50,7
3,4,5,40,7
3,9,7,50,7
3,10,1,10,7
4,3,5,40,7
4,5,7,50,7
4,6,8,60,7
4,9,5,40,7
5,4,7,50,7
5,6,5,40,7
5,9,7,50,7
6,4,8,60,7
6,5,5,40,7
6,7,5,40,7
6,8,8,60,7
6,9,5,40,7
7,1,16,100,7
7,6,5,40,7
7,8,5,40,7
7,9,7,50,7
8,1,10,70,7
8,6,8,60,7
8,7,5,40,7
9,1,7,50,7
9,2,10,70,7
9,3,7,50,7
9,4,5,40,7
9,5,7,50,7
9,6,5,40,7
9,7,7,50,7
10,3,1,10,7
0,1,1,10,8
0,11,0,0,8
1,2,5,40,8
1,3,7,50,8
1,7,16,100,8
1,8,10,70,8
1,9,7,50,8
1,11,1,10,8
2,1,5,40,8
2,3,7,50,8
2,9,10,70,8
3,1,7,50,8
3,2,7,50,8
3,4,5,40,8
3,9,7,50,8
3,10,1,10,8
4,3,5,40,8
4,5,7,50,8
4,6,9,60,8
4,9,5,40,8
5,4,7,50,8
5,6,5,40,8
5,9,7,50,8
6,4,9,60,8
6,5,5,40,8
6,7,5,40,8
6,8,9,60,8
6,9,5,40,8
7,1,16,100,8
7,6,5,40,8
7,8,5,40,8
7,9,7,50,8
8,1,10,70,8
8,6,9,60,8
8,7,5,40,8
9,1,7,50,8
9,2,10,70,8
9,3,7,50,8
9,4,5,40,8
9,5,7,50,8
