from_node_id,to_node_id,driving_time_cost,length,time_stamp
0,1,1,10,0
0,12,0,0,0
1,2,4,40,0
1,3,5,50,0
1,7,10,100,0
1,8,7,70,0
1,9,5,50,0
1,12,1,10,0
2,1,4,40,0
2,3,5,50,0
2,9,7,70,0
3,1,5,50,0
3,2,5,50,0
3,4,4,40,0
3,9,5,50,0
3,10,1,10,0
4,3,4,40,0
4,5,5,50,0
4,6,6,60,0
4,9,4,40,0
5,4,5,50,0
5,6,4,40,0
5,9,5,50,0
6,4,6,60,0
6,5,4,40,0
6,7,4,40,0
6,8,6,60,0
6,9,4,40,0
6,11,1,10,0
7,1,10,100,0
7,6,4,40,0
7,8,4,40,0
7,9,5,50,0
8,1,7,70,0
8,6,6,60,0
8,7,4,40,0
9,1,5,50,0
9,2,7,70,0
9,3,5,50,0
9,4,4,40,0
9,5,5,50,0
9,6,4,40,0
9,7,5,50,0
10,3,1,10,0
11,6,1,10,0
