start_space,delivery_space,end_space,start_time,delivery_time,end_time,sorties_cost
9,12,9,1,3,5,4
9,12,2,1,3,6,5
9,12,4,1,3,6,5
9,12,6,1,3,5,4
9,12,1,1,3,5,4
9,12,3,1,3,6,5
9,12,5,1,3,6,5
9,12,7,1,3,5,4
9,12,9,1,3,6,5
9,12,9,1,3,7,6
9,12,9,1,3,8,7
9,12,9,1,3,9,8
9,12,9,1,3,10,9
9,12,2,1,3,7,6
9,12,2,1,3,8,7
9,12,2,1,3,9,8
9,12,2,1,3,10,9
9,12,4,1,3,7,6
9,12,4,1,3,8,7
9,12,4,1,3,9,8
9,12,4,1,3,10,9
9,12,6,1,3,6,5
9,12,6,1,3,7,6
9,12,6,1,3,8,7
9,12,6,1,3,9,8
9,12,6,1,3,10,9
9,12,1,1,3,6,5
9,12,1,1,3,7,6
9,12,1,1,3,8,7
9,12,1,1,3,9,8
9,12,1,1,3,10,9
9,12,3,1,3,7,6
9,12,3,1,3,8,7
9,12,3,1,3,9,8
9,12,3,1,3,10,9
9,12,5,1,3,7,6
9,12,5,1,3,8,7
9,12,5,1,3,9,8
9,12,5,1,3,10,9
9,12,7,1,3,6,5
9,12,7,1,3,7,6
9,12,7,1,3,8,7
9,12,7,1,3,9,8
9,12,7,1,3,10,9
9,12,9,2,4,6,4
9,12,2,2,4,7,5
9,12,4,2,4,7,5
9,12,6,2,4,6,4
9,12,1,2,4,6,4
9,12,3,2,4,7,5
9,12,5,2,4,7,5
9,12,7,2,4,6,4
9,12,9,2,4,7,5
9,12,9,2,4,8,6
9,12,9,2,4,9,7
9,12,9,2,4,10,8
9,12,9,2,4,11,9
9,12,2,2,4,8,6
9,12,2,2,4,9,7
9,12,2,2,4,10,8
9,12,2,2,4,11,9
9,12,4,2,4,8,6
9,12,4,2,4,9,7
9,12,4,2,4,10,8
9,12,4,2,4,11,9
9,12,6,2,4,7,5
9,12,6,2,4,8,6
9,12,6,2,4,9,7
9,12,6,2,4,10,8
9,12,6,2,4,11,9
9,12,1,2,4,7,5
9,12,1,2,4,8,6
9,12,1,2,4,9,7
9,12,1,2,4,10,8
9,12,1,2,4,11,9
9,12,3,2,4,8,6
9,12,3,2,4,9,7
9,12,3,2,4,10,8
9,12,3,2,4,11,9
9,12,5,2,4,8,6
9,12,5,2,4,9,7
9,12,5,2,4,10,8
9,12,5,2,4,11,9
9,12,7,2,4,7,5
9,12,7,2,4,8,6
9,12,7,2,4,9,7
9,12,7,2,4,10,8
9,12,7,2,4,11,9
9,12,9,3,5,7,4
9,12,2,3,5,8,5
9,12,4,3,5,8,5
9,12,6,3,5,7,4
9,12,1,3,5,7,4
9,12,3,3,5,8,5
9,12,5,3,5,8,5
9,12,7,3,5,7,4
9,12,9,3,5,8,5
9,12,9,3,5,9,6
9,12,9,3,5,10,7
9,12,9,3,5,11,8
9,12,9,3,5,12,9
9,12,2,3,5,9,6
9,12,2,3,5,10,7
9,12,2,3,5,11,8
9,12,2,3,5,12,9
9,12,4,3,5,9,6
9,12,4,3,5,10,7
9,12,4,3,5,11,8
9,12,4,3,5,12,9
9,12,6,3,5,8,5
9,12,6,3,5,9,6
9,12,6,3,5,10,7
9,12,6,3,5,11,8
9,12,6,3,5,12,9
9,12,1,3,5,8,5
9,12,1,3,5,9,6
9,12,1,3,5,10,7
9,12,1,3,5,11,8
9,12,1,3,5,12,9
9,12,3,3,5,9,6
9,12,3,3,5,10,7
9,12,3,3,5,11,8
9,12,3,3,5,12,9
9,12,5,3,5,9,6
9,12,5,3,5,10,7
9,12,5,3,5,11,8
9,12,5,3,5,12,9
9,12,7,3,5,8,5
9,12,7,3,5,9,6
9,12,7,3,5,10,7
9,12,7,3,5,11,8
9,12,7,3,5,12,9
9,12,9,4,6,8,4
9,12,2,4,6,9,5
9,12,4,4,6,9,5
9,12,6,4,6,8,4
9,12,1,4,6,8,4
9,12,3,4,6,9,5
9,12,5,4,6,9,5
9,12,7,4,6,8,4
9,12,9,4,6,9,5
9,12,9,4,6,10,6
9,12,9,4,6,11,7
9,12,9,4,6,12,8
9,12,9,4,6,13,9
9,12,2,4,6,10,6
9,12,2,4,6,11,7
9,12,2,4,6,12,8
9,12,2,4,6,13,9
9,12,4,4,6,10,6
9,12,4,4,6,11,7
9,12,4,4,6,12,8
9,12,4,4,6,13,9
