from_space,to_space,from_time,to_time,from_state,to_state,cost,arc_type
3,4,0,4,0,0,4,0
3,4,1,5,0,0,4,0
3,4,2,6,0,0,4,0
3,4,3,7,0,0,4,0
3,4,4,8,0,0,4,0
3,4,5,10,0,0,5,0
3,4,6,11,0,0,5,0
3,4,7,12,0,0,5,0
3,4,8,13,0,0,5,0
3,4,9,15,0,0,6,0
3,4,10,16,0,0,6,0
3,4,11,17,0,0,6,0
3,4,12,19,0,0,7,0
3,4,13,20,0,0,7,0
3,4,14,21,0,0,7,0
3,4,15,22,0,0,7,0
3,4,16,23,0,0,7,0
3,4,17,25,0,0,8,0
3,4,18,26,0,0,8,0
3,4,19,27,0,0,8,0
3,4,20,28,0,0,8,0
3,4,21,29,0,0,8,0
3,4,22,30,0,0,8,0
3,4,23,31,0,0,8,0
3,4,24,32,0,0,8,0
3,4,25,33,0,0,8,0
3,4,26,34,0,0,8,0
3,4,27,35,0,0,8,0
3,4,28,36,0,0,8,0
3,4,29,37,0,0,8,0
3,4,30,38,0,0,8,0
3,4,31,39,0,0,8,0
3,4,32,40,0,0,8,0
3,4,33,40,0,0,7,0
3,4,34,41,0,0,7,0
3,4,35,42,0,0,7,0
3,4,36,43,0,0,7,0
3,4,37,44,0,0,7,0
3,4,38,45,0,0,7,0
3,4,39,46,0,0,7,0
3,4,40,47,0,0,7,0
3,4,41,48,0,0,7,0
3,4,42,49,0,0,7,0
3,4,43,50,0,0,7,0
3,4,44,51,0,0,7,0
3,4,45,52,0,0,7,0
3,4,46,52,0,0,6,0
3,4,47,53,0,0,6,0
3,4,48,54,0,0,6,0
3,4,49,55,0,0,6,0
3,4,50,56,0,0,6,0
3,4,51,57,0,0,6,0
3,4,52,58,0,0,6,0
3,4,53,59,0,0,6,0
3,4,54,60,0,0,6,0
4,3,0,4,0,0,4,0
4,3,1,5,0,0,4,0
4,3,2,6,0,0,4,0
4,3,3,7,0,0,4,0
4,3,4,8,0,0,4,0
4,3,5,10,0,0,5,0
4,3,6,11,0,0,5,0
4,3,7,12,0,0,5,0
4,3,8,13,0,0,5,0
4,3,9,15,0,0,6,0
4,3,10,16,0,0,6,0
4,3,11,17,0,0,6,0
4,3,12,19,0,0,7,0
4,3,13,20,0,0,7,0
4,3,14,21,0,0,7,0
4,3,15,22,0,0,7,0
4,3,16,23,0,0,7,0
4,3,17,25,0,0,8,0
4,3,18,26,0,0,8,0
4,3,19,27,0,0,8,0
4,3,20,28,0,0,8,0
4,3,21,29,0,0,8,0
4,3,22,30,0,0,8,0
4,3,23,31,0,0,8,0
4,3,24,32,0,0,8,0
4,3,25,33,0,0,8,0
4,3,26,34,0,0,8,0
4,3,27,35,0,0,8,0
4,3,28,36,0,0,8,0
4,3,29,37,0,0,8,0
4,3,30,38,0,0,8,0
4,3,31,39,0,0,8,0
4,3,32,40,0,0,8,0
4,3,33,40,0,0,7,0
4,3,34,41,0,0,7,0
4,3,35,42,0,0,7,0
4,3,36,43,0,0,7,0
4,3,37,44,0,0,7,0
4,3,38,45,0,0,7,0
4,3,39,46,0,0,7,0
4,3,40,47,0,0,7,0
4,3,41,48,0,0,7,0
4,3,42,49,0,0,7,0
4,3,43,50,0,0,7,0
4,3,44,51,0,0,7,0
4,3,45,52,0,0,7,0
4,3,46,52,0,0,6,0
4,3,47,53,0,0,6,0
4,3,48,54,0,0,6,0
