from_node_id,to_node_id,flying_time_cost,time_stamp
0,1,1,0
0,36,0,0
1,2,4,0
1,3,1,0
1,4,2,0
1,5,3,0
1,6,4,0
1,7,6,0
1,8,4,0
1,9,3,0
1,10,4,0
1,11,3,0
1,12,3,0
1,13,7,0
1,14,5,0
1,15,5,0
1,16,5,0
1,17,5,0
1,18,6,0
1,19,6,0
1,20,8,0
1,21,7,0
1,22,6,0
1,23,6,0
1,24,7,0
1,36,1,0
2,1,4,0
2,3,4,0
2,4,3,0
2,5,2,0
2,6,2,0
2,7,2,0
2,8,2,0
2,9,2,0
2,10,3,0
2,11,4,0
2,12,5,0
2,13,8,0
2,14,5,0
2,15,5,0
2,16,3,0
2,17,4,0
2,18,3,0
2,19,5,0
2,20,7,0
2,21,7,0
2,22,6,0
2,23,6,0
2,24,7,0
2,29,1,0
3,1,1,0
3,2,4,0
3,4,1,0
3,5,2,0
3,6,4,0
3,7,5,0
3,8,4,0
3,9,3,0
3,10,3,0
3,11,2,0
3,12,2,0
3,13,6,0
3,14,4,0
3,15,4,0
3,16,4,0
3,17,5,0
3,18,6,0
3,19,5,0
3,20,7,0
3,21,6,0
3,22,5,0
3,23,5,0
3,24,6,0
4,1,2,0
4,2,3,0
4,3,1,0
4,5,1,0
4,6,3,0
4,7,4,0
4,8,3,0
4,9,1,0
4,10,2,0
4,11,2,0
4,12,2,0
4,13,6,0
4,14,4,0
4,15,4,0
4,16,3,0
4,17,4,0
4,18,5,0
4,19,5,0
4,20,6,0
4,21,6,0
4,22,5,0
4,23,5,0
4,24,6,0
4,25,1,0
5,1,3,0
5,2,2,0
5,3,3,0
5,4,1,0
5,6,1,0
5,7,3,0
5,8,2,0
5,9,1,0
5,10,2,0
5,11,2,0
5,12,3,0
5,13,6,0
5,14,4,0
5,15,4,0
5,16,2,0
5,17,3,0
5,18,3,0
5,19,4,0
5,20,6,0
5,21,6,0
5,22,5,0
5,23,5,0
5,24,6,0
6,1,4,0
6,2,1,0
6,3,4,0
6,4,3,0
6,5,1,0
6,7,2,0
6,8,1,0
6,9,2,0
6,10,2,0
6,11,3,0
6,12,4,0
6,13,7,0
6,14,5,0
6,15,4,0
6,16,2,0
6,17,3,0
6,18,2,0
6,19,4,0
6,20,6,0
6,21,6,0
6,22,5,0
6,23,5,0
6,24,6,0
6,31,1,0
7,1,6,0
7,2,2,0
7,3,5,0
7,4,4,0
7,5,3,0
7,6,2,0
7,8,1,0
7,9,3,0
7,10,3,0
7,11,4,0
7,12,5,0
7,13,7,0
7,14,5,0
7,15,4,0
7,16,2,0
7,17,2,0
7,18,1,0
7,19,3,0
7,20,5,0
7,21,6,0
7,22,5,0
7,23,5,0
7,24,6,0
8,1,4,0
8,2,2,0
8,3,4,0
8,4,3,0
8,5,2,0
8,6,1,0
8,7,1,0
8,9,1,0
8,10,2,0
8,11,3,0
8,12,4,0
8,13,6,0
8,14,4,0
8,15,3,0
8,16,1,0
8,17,2,0
8,18,2,0
8,19,3,0
8,20,5,0
8,21,5,0
8,22,4,0
8,23,5,0
8,24,5,0
9,1,3,0
9,2,2,0
9,3,3,0
9,4,2,0
9,5,1,0
9,6,2,0
9,7,3,0
9,8,1,0
9,10,1,0
9,11,2,0
9,12,3,0
9,13,5,0
9,14,3,0
9,15,3,0
9,16,2,0
9,17,2,0
9,18,3,0
9,19,3,0
9,20,5,0
9,21,5,0
9,22,4,0
9,23,4,0
9,24,5,0
10,1,4,0
10,2,3,0
10,3,3,0
10,4,2,0
10,5,2,0
10,6,2,0
10,7,3,0
10,8,2,0
10,9,1,0
10,11,1,0
10,12,2,0
10,13,5,0
10,14,2,0
10,15,2,0
10,16,1,0
10,17,2,0
10,18,3,0
10,19,2,0
10,20,4,0
10,21,4,0
10,22,3,0
10,23,3,0
10,24,4,0
10,34,1,0
11,1,3,0
11,2,4,0
11,3,2,0
11,4,2,0
11,5,2,0
11,6,3,0
11,7,4,0
11,8,3,0
11,9,2,0
11,10,1,0
11,12,1,0
11,13,4,0
11,14,2,0
11,15,2,0
11,16,3,0
11,17,3,0
11,18,4,0
11,19,3,0
11,20,5,0
11,21,4,0
11,22,3,0
11,23,3,0
11,24,4,0
11,33,1,0
12,1,3,0
12,2,5,0
12,3,2,0
12,4,2,0
12,5,3,0
12,6,4,0
12,7,5,0
12,8,4,0
12,9,3,0
12,10,3,0
12,11,1,0
12,13,4,0
12,14,2,0
12,15,3,0
12,16,4,0
12,17,4,0
12,18,5,0
12,19,4,0
12,20,6,0
12,21,5,0
12,22,4,0
12,23,3,0
12,24,4,0
12,26,1,0
13,1,7,0
13,2,8,0
13,3,6,0
13,4,6,0
13,5,6,0
13,6,7,0
13,7,7,0
13,8,6,0
13,9,5,0
13,10,5,0
13,11,4,0
13,12,4,0
13,14,2,0
13,15,3,0
13,16,6,0
13,17,5,0
13,18,7,0
13,19,4,0
13,20,4,0
13,21,3,0
13,22,3,0
13,23,2,0
13,24,1,0
13,30,1,0
14,1,5,0
14,2,5,0
14,3,4,0
14,4,4,0
14,5,4,0
14,6,5,0
14,7,5,0
14,8,4,0
14,9,3,0
14,10,2,0
14,11,2,0
14,12,2,0
14,13,2,0
14,15,1,0
14,16,3,0
14,17,3,0
14,18,5,0
14,19,3,0
14,20,3,0
14,21,2,0
14,22,2,0
14,23,1,0
14,24,2,0
14,27,1,0
15,1,5,0
15,2,5,0
15,3,4,0
15,4,4,0
15,5,4,0
15,6,4,0
15,7,4,0
15,8,3,0
15,9,3,0
15,10,2,0
15,11,2,0
15,12,3,0
15,13,3,0
15,14,1,0
15,16,2,0
15,17,2,0
15,18,3,0
15,19,1,0
15,20,2,0
15,21,2,0
15,22,1,0
15,23,2,0
15,24,2,0
15,35,1,0
16,1,5,0
16,2,3,0
16,3,4,0
16,4,3,0
16,5,2,0
16,6,2,0
16,7,2,0
16,8,1,0
16,9,2,0
16,10,1,0
16,11,3,0
16,12,4,0
16,13,5,0
16,14,3,0
16,15,2,0
16,17,1,0
16,18,1,0
16,19,2,0
16,20,4,0
16,21,4,0
16,22,3,0
16,23,4,0
16,24,5,0
16,32,1,0
17,1,5,0
17,2,4,0
17,3,5,0
17,4,4,0
17,5,3,0
17,6,3,0
17,7,2,0
17,8,2,0
17,9,2,0
17,10,2,0
17,11,3,0
17,12,4,0
17,13,5,0
17,14,3,0
17,15,2,0
17,16,1,0
17,18,2,0
17,19,1,0
17,20,3,0
17,21,3,0
17,22,2,0
17,23,3,0
17,24,4,0
18,1,6,0
18,2,3,0
18,3,6,0
18,4,5,0
18,5,3,0
18,6,2,0
18,7,1,0
18,8,2,0
18,9,3,0
18,10,3,0
18,11,4,0
18,12,5,0
18,13,7,0
18,14,5,0
18,15,3,0
18,16,1,0
18,17,2,0
18,19,2,0
18,20,4,0
18,21,5,0
18,22,4,0
18,23,5,0
18,24,6,0
18,28,1,0
19,1,6,0
19,2,5,0
19,3,5,0
19,4,5,0
19,5,4,0
19,6,4,0
19,7,3,0
19,8,3,0
19,9,3,0
19,10,2,0
19,11,3,0
