start_space,delivery_space,end_space,start_time,delivery_time,end_time,sorties_cost
8,25,2,1,5,9,8
8,25,1,1,5,8,7
8,25,10,1,5,8,7
8,25,5,1,5,7,6
8,25,14,1,5,10,9
8,25,8,1,5,9,8
8,25,17,1,5,10,9
8,25,12,1,5,8,7
8,25,2,1,5,10,9
8,25,1,1,5,9,8
8,25,1,1,5,10,9
8,25,10,1,5,9,8
8,25,10,1,5,10,9
8,25,5,1,5,8,7
8,25,5,1,5,9,8
8,25,5,1,5,10,9
8,25,8,1,5,10,9
8,25,12,1,5,9,8
8,25,12,1,5,10,9
8,25,2,2,6,10,8
8,25,1,2,6,9,7
8,25,10,2,6,9,7
8,25,5,2,6,8,6
8,25,14,2,6,11,9
8,25,8,2,6,10,8
8,25,17,2,6,11,9
8,25,12,2,6,9,7
8,25,2,2,6,11,9
8,25,1,2,6,10,8
8,25,1,2,6,11,9
8,25,10,2,6,10,8
8,25,10,2,6,11,9
8,25,5,2,6,9,7
8,25,5,2,6,10,8
8,25,5,2,6,11,9
8,25,8,2,6,11,9
8,25,12,2,6,10,8
8,25,12,2,6,11,9
8,25,2,3,7,11,8
8,25,1,3,7,10,7
8,25,10,3,7,10,7
8,25,5,3,7,9,6
8,25,14,3,7,12,9
8,25,8,3,7,11,8
8,25,17,3,7,12,9
8,25,12,3,7,10,7
8,25,2,3,7,12,9
8,25,1,3,7,11,8
8,25,1,3,7,12,9
8,25,10,3,7,11,8
8,25,10,3,7,12,9
8,25,5,3,7,10,7
8,25,5,3,7,11,8
8,25,5,3,7,12,9
8,25,8,3,7,12,9
8,25,12,3,7,11,8
8,25,12,3,7,12,9
8,25,2,4,8,12,8
8,25,1,4,8,11,7
8,25,10,4,8,11,7
8,25,5,4,8,10,6
8,25,14,4,8,13,9
8,25,8,4,8,12,8
8,25,17,4,8,13,9
8,25,12,4,8,11,7
8,25,2,4,8,13,9
8,25,1,4,8,12,8
8,25,1,4,8,13,9
8,25,10,4,8,12,8
8,25,10,4,8,13,9
8,25,5,4,8,11,7
8,25,5,4,8,12,8
8,25,5,4,8,13,9
8,25,8,4,8,13,9
8,25,12,4,8,12,8
8,25,12,4,8,13,9
8,25,2,5,9,13,8
8,25,1,5,9,12,7
