from_space,to_space,from_time,to_time,from_state,to_state,cost,arc_type
8,9,0,3,0,0,3,0
8,9,1,4,0,0,3,0
8,9,2,5,0,0,3,0
8,9,3,6,0,0,3,0
8,9,4,7,0,0,3,0
8,9,5,8,0,0,3,0
8,9,6,10,0,0,4,0
8,9,7,11,0,0,4,0
8,9,8,12,0,0,4,0
8,9,9,13,0,0,4,0
8,9,10,14,0,0,4,0
8,9,11,16,0,0,5,0
8,9,12,17,0,0,5,0
8,9,13,18,0,0,5,0
8,9,14,19,0,0,5,0
8,9,15,20,0,0,5,0
8,9,16,21,0,0,5,0
8,9,17,23,0,0,6,0
8,9,18,24,0,0,6,0
8,9,19,25,0,0,6,0
8,9,20,26,0,0,6,0
8,9,21,27,0,0,6,0
8,9,22,28,0,0,6,0
8,9,23,29,0,0,6,0
8,9,24,30,0,0,6,0
8,9,25,31,0,0,6,0
8,9,26,32,0,0,6,0
8,9,27,33,0,0,6,0
8,9,28,34,0,0,6,0
8,9,29,35,0,0,6,0
8,9,30,36,0,0,6,0
8,9,31,37,0,0,6,0
8,9,32,38,0,0,6,0
8,9,33,39,0,0,6,0
8,9,34,40,0,0,6,0
8,9,35,40,0,0,5,0
8,9,36,41,0,0,5,0
8,9,37,42,0,0,5,0
8,9,38,43,0,0,5,0
8,9,39,44,0,0,5,0
8,9,40,45,0,0,5,0
8,9,41,46,0,0,5,0
8,9,42,47,0,0,5,0
8,9,43,48,0,0,5,0
8,9,44,49,0,0,5,0
8,9,45,50,0,0,5,0
8,9,46,51,0,0,5,0
8,9,47,52,0,0,5,0
8,9,48,53,0,0,5,0
8,9,49,54,0,0,5,0
8,9,50,55,0,0,5,0
8,9,51,55,0,0,4,0
8,9,52,56,0,0,4,0
8,9,53,58,0,0,5,0
8,9,54,59,0,0,5,0
8,9,55,60,0,0,5,0
8,9,56,60,0,0,4,0
8,9,57,61,0,0,4,0
8,9,58,62,0,0,4,0
8,9,59,63,0,0,4,0
8,9,60,64,0,0,4,0
8,9,61,65,0,0,4,0
8,9,62,66,0,0,4,0
9,8,0,3,0,0,3,0
9,8,1,4,0,0,3,0
9,8,2,5,0,0,3,0
9,8,3,6,0,0,3,0
9,8,4,7,0,0,3,0
9,8,5,8,0,0,3,0
9,8,6,10,0,0,4,0
9,8,7,11,0,0,4,0
9,8,8,12,0,0,4,0
9,8,9,13,0,0,4,0
9,8,10,14,0,0,4,0
9,8,11,16,0,0,5,0
9,8,12,17,0,0,5,0
9,8,13,18,0,0,5,0
9,8,14,19,0,0,5,0
9,8,15,20,0,0,5,0
9,8,16,21,0,0,5,0
9,8,17,23,0,0,6,0
9,8,18,24,0,0,6,0
9,8,19,25,0,0,6,0
9,8,20,26,0,0,6,0
9,8,21,27,0,0,6,0
9,8,22,28,0,0,6,0
9,8,23,29,0,0,6,0
9,8,24,30,0,0,6,0
9,8,25,31,0,0,6,0
9,8,26,32,0,0,6,0
9,8,27,33,0,0,6,0
9,8,28,34,0,0,6,0
9,8,29,35,0,0,6,0
9,8,30,36,0,0,6,0
9,8,31,37,0,0,6,0
9,8,32,38,0,0,6,0
9,8,33,39,0,0,6,0
9,8,34,40,0,0,6,0
9,8,35,40,0,0,5,0
9,8,36,41,0,0,5,0
9,8,37,42,0,0,5,0
9,8,38,43,0,0,5,0
9,8,39,44,0,0,5,0
9,8,40,45,0,0,5,0
9,8,41,46,0,0,5,0
9,8,42,47,0,0,5,0
9,8,43,48,0,0,5,0
9,8,44,49,0,0,5,0
9,8,45,50,0,0,5,0
9,8,46,51,0,0,5,0
9,8,47,52,0,0,5,0
9,8,48,53,0,0,5,0
9,8,49,54,0,0,5,0
9,8,50,55,0,0,5,0
9,8,51,55,0,0,4,0
9,8,52,56,0,0,4,0
9,8,53,58,0,0,5,0
9,8,54,59,0,0,5,0
9,8,55,60,0,0,5,0
9,8,56,60,0,0,4,0
9,8,57,61,0,0,4,0
9,8,58,62,0,0,4,0
9,8,59,63,0,0,4,0
9,8,60,64,0,0,4,0
9,8,61,65,0,0,4,0
9,8,62,66,0,0,4,0
11,14,0,4,0,0,4,0
11,14,1,5,0,0,4,0
11,14,2,6,0,0,4,0
11,14,3,7,0,0,4,0
11,14,4,8,0,0,4,0
11,14,5,10,0,0,5,0
11,14,6,11,0,0,5,0
11,14,7,12,0,0,5,0
11,14,8,13,0,0,5,0
11,14,9,15,0,0,6,0
11,14,10,16,0,0,6,0
11,14,11,17,0,0,6,0
11,14,12,19,0,0,7,0
11,14,13,20,0,0,7,0
11,14,14,21,0,0,7,0
11,14,15,22,0,0,7,0
11,14,16,23,0,0,7,0
